stage,model_id,model_label,top1_accuracy,iter,warmup,chains,adapt_delta,max_treedepth,elapsed_sec,note,task,feedback,time_pressure,frame,draws,n_obs,n_participants,n_trials,elpd_loo,se_elpd_loo,looic,p_loo,elpd_waic,se_elpd_waic,waic,p_waic,pareto_k_gt_0_7,pareto_k_gt_1,n_divergent,n_max_treedepth,max_rhat,min_n_eff
pilot,modelB_decay,Model B: Decay-RL + Stickiness,0.6634615384615384,1000,500,4,0.95,10,290.4488489627838,,FulltickNoTimelimited,Full,No TP,Accept,2000,2600,65,40,-1661.3782209949659,15.596396820342498,3322.7564419899318,79.93587815228271,-1660.8737019891757,15.581001742514532,3321.7474039783515,79.43135914649217,65,65,0,0,1.197414797721407,2.021340439399648
pilot,modelB_decay,Model B: Decay-RL + Stickiness,0.6792307692307692,1000,500,4,0.95,10,301.1776080131531,,FulltickTimelimited,Full,TP,Accept,2000,2600,65,40,-1613.9550695766522,17.58230918403276,3227.9101391533045,84.9871014378164,-1613.3659759211075,17.55815405031746,3226.731951842215,84.39800778226915,65,65,0,0,1.1770160120952877,2.0219744586604036
pilot,modelB_decay,Model B: Decay-RL + Stickiness,0.7013392857142857,1000,500,4,0.95,10,331.87807607650757,,PartialcrossNoTimelimited,Partial,No TP,Reject,2000,2240,56,40,-1291.2695180529631,19.416078369106945,2582.5390361059262,80.40213880944174,-1290.0362504901414,19.328923236264966,2580.0725009802827,79.1688712466248,57,56,0,0,1.1449682102894911,2.022972130160974
pilot,modelB_decay,Model B: Decay-RL + Stickiness,0.7080357142857143,1000,500,4,0.95,10,237.61790704727173,,PartialcrossTimelimited,Partial,TP,Reject,2000,2240,56,40,-1347.729549616014,18.968142289635406,2695.459099232028,75.48689900716829,-1346.9359830733154,18.926385683067565,2693.8719661466307,74.69333246446702,56,56,0,0,1.1800980849823814,2.0268319143051006
pilot,modelB_decay,Model B: Decay-RL + Stickiness,0.7214285714285714,1000,500,4,0.95,10,245.2987949848175,,PartialtickNoTimelimited,Partial,No TP,Accept,2000,2240,56,40,-1246.443580308223,21.33699152412892,2492.887160616446,87.66198771092898,-1245.2137626573913,21.257851433008486,2490.4275253147825,86.43217006009947,55,54,0,0,1.0775517818819764,2.035401934096342
pilot,modelB_decay,Model B: Decay-RL + Stickiness,0.7383928571428572,1000,500,4,0.95,10,239.63633704185486,,PartialtickTimelimited,Partial,TP,Accept,2000,2240,56,40,-1209.7763364491973,22.267976822466288,2419.5526728983946,80.34716013650984,-1208.6249976334643,22.19418933389385,2417.2499952669286,79.19582132077842,57,56,0,0,1.056906475962506,2.0276892777328333
pilot,modelC_hybrid,Model C: Hybrid RL + BMT features,0.6534615384615384,1000,500,4,0.95,10,249.62380695343018,,FullcrossNoTimelimited,Full,No TP,Reject,2000,2600,65,40,-1665.2661742334908,15.766931472922481,3330.5323484669816,80.23589864037915,-1664.7427026794226,15.74514891205486,3329.485405358845,79.7124270863065,65,65,0,0,1.1932070995037725,2.0220206691884277
pilot,modelC_hybrid,Model C: Hybrid RL + BMT features,0.645,1000,500,4,0.95,10,201.38460397720337,,FullcrossTimelimited,Full,TP,Reject,2000,2600,65,40,-1662.1952823904617,15.340023383465066,3324.3905647809233,79.66531960944832,-1661.648246214806,15.320796492605576,3323.296492429612,79.11828343378653,65,65,0,0,1.1993077203712634,2.0213219342335687
pilot,modelC_hybrid,Model C: Hybrid RL + BMT features,0.6615384615384615,1000,500,4,0.95,10,147.1937289237976,,FulltickNoTimelimited,Full,No TP,Accept,2000,2600,65,40,-1660.1590431219006,15.683018872657863,3320.318086243801,83.06732599757653,-1659.633415475886,15.667649036264475,3319.266830951772,82.54169835155969,65,65,0,0,1.0835538886527303,2.0221809699439506
pilot,modelC_hybrid,Model C: Hybrid RL + BMT features,0.6788461538461539,1000,500,4,0.95,10,133.30200219154358,,FulltickTimelimited,Full,TP,Accept,2000,2600,65,40,-1614.0391777552177,17.661956882362134,3228.0783555104354,87.12013996225176,-1613.4190270364215,17.6385624912781,3226.838054072843,86.49998924345105,65,65,0,0,1.1453139174771458,2.0215130183542263
pilot,modelC_hybrid,Model C: Hybrid RL + BMT features,0.7066964285714286,1000,500,4,0.95,10,150.68941593170166,,PartialcrossNoTimelimited,Partial,No TP,Reject,2000,2240,56,40,-1299.8329038613006,19.29223482504504,2599.665807722601,81.18901332844321,-1298.6812751530354,19.20773938449707,2597.3625503060707,80.03738462017613,57,55,0,0,1.0582919536436917,2.0223091436289957
pilot,modelC_hybrid,Model C: Hybrid RL + BMT features,0.7209821428571429,1000,500,4,0.95,10,132.93632793426514,,PartialcrossTimelimited,Partial,TP,Reject,2000,2240,56,40,-1342.6906454026819,18.997650678704566,2685.3812908053637,93.93346618633852,-1341.4218013468894,18.94527549352431,2682.843602693779,92.66462213054874,57,56,0,0,1.0216468116686013,2.0245600906017893
pilot,modelC_hybrid,Model C: Hybrid RL + BMT features,0.7241071428571428,1000,500,4,0.95,10,120.3762640953064,,PartialtickNoTimelimited,Partial,No TP,Accept,2000,2240,56,40,-1258.3434362369967,20.913797590997632,2516.6868724739934,90.85862650326975,-1256.9766787004055,20.856090799770964,2513.953357400811,89.49186896668164,57,56,0,0,1.0552270370238472,2.0249793169506876
pilot,modelC_hybrid,Model C: Hybrid RL + BMT features,0.7491071428571429,1000,500,4,0.95,10,113.5016438961029,,PartialtickTimelimited,Partial,TP,Accept,2000,2240,56,40,-1212.2485914415804,22.357620810822187,2424.497182883161,90.8246053657169,-1210.8259008896512,22.30012610891599,2421.6518017793023,89.40191481378974,56,56,0,0,1.0178237031696586,2.0200084637018274
